# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
199.0000 M1 68834 2 167.0000 p2_28 ADB6 297 N p2_28->p2_25->ADB6
469.0000 M8 63877 3 236.0000 p2_27 ADB6 296 N p2_27->p2_28->p2_24->ADB6
469.5000 M6 111032 2 299.5000 p2_31 ADB6 295 N p2_31->p2_24->ADB6
505.9000 N257 1000000 4 45.1291 ADB6 p1_14 299 N ADB6->WIFI_12->WIFI_11->ADB5->p1_14
517.8000 N274 1000000 4 24.1021 ADB6 p3_38 299 N ADB6->WIFI_12->WIFI_13->ADB7->p3_38
525.3000 M5 124671 5 381.3000 p1_18 ADB6 293 N p1_18->p1_14->ADB5->WIFI_11->WIFI_12->ADB6
660.4000 N245 1000000 5 227.9688 ADB6 p1_19 296 N ADB6->WIFI_12->WIFI_11->ADB5->p1_14->p1_19
670.6000 M14 70934 3 265.6000 p2_25 ADB6 295 N p2_25->p2_33->p2_31->ADB6
809.7000 M22 104050 1 169.7000 p2_33 ADB6 297 N p2_33->ADB6
867.6000 M23 105510 3 198.6000 p2_26 ADB6 296 N p2_26->p2_29->p2_27->ADB6
868.2000 M25 132211 1 138.2000 p2_27 ADB6 297 N p2_27->ADB6
881.1000 M12 95086 4 536.1000 p3_39 ADB6 291 N p3_39->ADB7->WIFI_13->WIFI_12->ADB6
881.2000 M3 118122 5 797.2000 p3_37 ADB6 286 N p3_37->p3_39->ADB7->WIFI_13->WIFI_12->ADB6
1000.6000 M11 112047 4 680.6000 p3_34 ADB6 288 N p3_34->ADB7->WIFI_13->WIFI_12->ADB6
1000.7000 M26 96679 5 243.7000 p3_42 ADB6 295 N p3_42->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
1000.8000 M19 130040 5 443.8000 p3_42 ADB6 292 N p3_42->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
1003.4000 M10 113541 6 712.4000 p1_16 ADB6 288 N p1_16->p1_15->p1_19->ADB5->WIFI_11->WIFI_12->ADB6
1146.2000 M20 123543 4 564.2000 p3_38 ADB6 290 N p3_38->ADB7->WIFI_13->WIFI_12->ADB6
1222.6000 N3 1000000 7 1220.8662 ADB6 p5_62 279 N ADB6->WIFI_12->WIFI_13->ADB7->CD10->ADB9->p5_60->p5_62
1354.6000 M27 57738 3 569.6000 p2_28 ADB6 290 N p2_28->p2_31->p2_33->ADB6
1431.4000 M28 77290 2 613.4000 p2_25 ADB6 289 N p2_25->p2_28->ADB6
1432.0000 M39 133915 4 278.0000 p2_25 ADB6 295 N p2_25->p2_32->p2_31->p2_28->ADB6
1432.6000 M30 128625 1 551.6000 p2_28 ADB6 290 N p2_28->ADB6
1432.9000 M36 62761 2 372.9000 p2_25 ADB6 293 N p2_25->p2_28->ADB6
1441.2000 M32 81670 5 496.2000 p1_22 ADB6 291 N p1_22->p1_15->ADB5->WIFI_11->WIFI_12->ADB6
1441.3000 M31 98641 7 528.3000 p1_23 ADB6 291 N p1_23->p1_20->p1_19->p1_15->ADB5->WIFI_11->WIFI_12->ADB6
1441.4000 M21 69301 7 832.4000 p1_14 ADB6 286 N p1_14->p1_20->p1_19->p1_15->ADB5->WIFI_11->WIFI_12->ADB6
1468.8000 M47 84776 5 57.8000 p1_21 ADB6 299 N p1_21->p1_22->ADB5->WIFI_11->WIFI_12->ADB6
1517.8000 N526 1000000 5 557.7375 ADB6 p3_42 290 N ADB6->WIFI_12->WIFI_13->ADB7->p3_34->p3_42
1763.1000 M55 78171 2 117.1000 p2_33 ADB6 298 N p2_33->p2_24->ADB6
1795.3000 N533 1000000 5 815.6704 ADB6 p3_36 286 N ADB6->WIFI_12->WIFI_13->ADB7->p3_34->p3_36
1880.4000 N490 1000000 7 1007.3231 ADB6 p3_43 283 N ADB6->WIFI_12->WIFI_13->ADB7->p3_39->p3_38->p3_34->p3_43
1887.9000 M46 86051 5 509.9000 p3_38 ADB6 291 N p3_38->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
1888.0000 M24 109729 7 1190.0000 p3_37 ADB6 280 N p3_37->p3_39->p3_38->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
1888.0715 M42 139225 6 639.0715 p3_39 ADB6 289 N p3_39->p3_38->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
1888.1000 M45 56581 4 543.1000 p3_34 ADB6 290 N p3_34->ADB7->WIFI_13->WIFI_12->ADB6
1930.3000 M58 87610 3 191.3000 p2_32 ADB6 296 N p2_32->p2_33->p2_25->ADB6
2150.0564 M59 112758 3 381.0564 p2_24 ADB6 293 N p2_24->p2_33->p2_29->ADB6
2207.5000 N534 1000000 5 1227.8468 ADB6 p3_37 279 N ADB6->WIFI_12->WIFI_13->ADB7->p3_34->p3_37
2362.2000 N1182 1000000 4 42.8037 ADB6 p1_15 299 N ADB6->WIFI_12->WIFI_11->ADB5->p1_15
2366.2000 N1171 1000000 4 67.5522 ADB6 p1_15 298 N ADB6->WIFI_12->WIFI_11->ADB5->p1_15
2552.0000 M85 100749 1 22.0000 p2_24 ADB6 299 N p2_24->ADB6
2552.6000 M79 129028 3 199.6000 p2_33 ADB6 296 N p2_33->p2_29->p2_24->ADB6
2553.1000 M68 110233 3 531.1000 p2_25 ADB6 291 N p2_25->p2_27->p2_24->ADB6
2652.2000 N282 1000000 7 2133.3715 ADB6 p3_41 264 N ADB6->WIFI_12->WIFI_13->ADB7->p3_38->p3_39->p3_42->p3_41
2719.1000 M43 146711 7 1438.1000 p1_15 ADB6 276 N p1_15->p1_17->p1_16->p1_22->ADB5->WIFI_11->WIFI_12->ADB6
2740.1000 M48 134863 8 1303.1000 p1_23 ADB6 278 N p1_23->p1_15->p1_19->p1_16->p1_22->ADB5->WIFI_11->WIFI_12->ADB6
2872.0000 M90 88494 2 198.0000 p2_31 ADB6 296 N p2_31->p2_32->ADB6
2888.3000 N1100 1000000 6 733.7455 ADB6 p5_62 287 N ADB6->WIFI_12->WIFI_13->ADB7->CD10->ADB9->p5_62
2953.3000 M93 69389 4 185.3000 p3_34 ADB6 296 N p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.4000 M37 87538 6 1861.4000 p3_35 ADB6 268 N p3_35->p3_37->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.5000 M63 120569 5 1072.5000 p3_37 ADB6 282 N p3_37->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.6000 M60 149278 6 1152.6000 p3_41 ADB6 280 N p3_41->p3_42->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.7000 M78 107377 4 634.7000 p3_34 ADB6 289 N p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.8000 M52 141919 5 1393.8000 p3_37 ADB6 276 N p3_37->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
2953.9000 M50 126458 6 1455.9000 p3_35 ADB6 275 N p3_35->p3_37->p3_34->ADB7->WIFI_13->WIFI_12->ADB6
3002.9000 N570 1000000 8 1934.3535 ADB6 p4_52 267 N ADB6->WIFI_12->WIFI_13->ADB7->CD10->ADB8->p4_49->p4_45->p4_52
3004.5000 N1485 1000000 4 17.3388 ADB6 p3_41 299 N ADB6->WIFI_12->WIFI_13->ADB7->p3_41
3028.3000 M100 96890 4 54.3000 p3_41 ADB6 299 N p3_41->ADB7->WIFI_13->WIFI_12->ADB6
3097.9000 M96 116374 4 244.9000 p2_24 ADB6 295 N p2_24->p2_26->p2_31->p2_30->ADB6
3098.4000 M98 121931 1 189.4000 p2_30 ADB6 296 N p2_30->ADB6
3126.9000 N392 1000000 5 2445.1946 ADB6 p1_18 259 N ADB6->WIFI_12->WIFI_11->ADB5->p1_21->p1_18
3134.9000 N283 1000000 6 2615.0266 ADB6 p3_40 256 N ADB6->WIFI_12->WIFI_13->ADB7->p3_38->p3_39->p3_40
3254.3000 M80 81176 4 876.3000 p3_38 ADB6 285 N p3_38->ADB7->WIFI_13->WIFI_12->ADB6
3254.4000 M99 149694 4 313.4000 p3_38 ADB6 294 N p3_38->ADB7->WIFI_13->WIFI_12->ADB6
3254.5000 M41 88158 5 2038.5000 p3_40 ADB6 266 N p3_40->p3_38->ADB7->WIFI_13->WIFI_12->ADB6
3265.7000 M95 145577 5 442.7000 p1_17 ADB6 292 N p1_17->p1_20->ADB5->WIFI_11->WIFI_12->ADB6
3265.8000 M56 132957 7 1588.8000 p1_16 ADB6 273 N p1_16->p1_17->p1_19->p1_20->ADB5->WIFI_11->WIFI_12->ADB6
