# time  ID  size  fromHost  toHost  TTL  isResponse
1.2529 M1 1484638 p1_11 ADB3 300 N 
1.7942 M2 2144201 p1_12 ADB3 300 N 
2.0041 M3 1829931 p3_29 ADB3 300 N 
2.2368 M4 1468122 p2_19 ADB3 300 N 
8.6584 M5 1295971 p2_24 ADB3 300 N 
10.3583 M6 2300554 p1_10 ADB3 300 N 
13.3020 M7 2006241 p1_10 ADB3 300 N 
16.0716 M8 1661032 p2_19 ADB3 300 N 
18.3743 M9 1666703 p3_30 ADB3 300 N 
18.5057 M10 2027347 p3_35 ADB3 300 N 
22.1954 M11 2269587 p1_9 ADB3 300 N 
29.5139 M12 1087686 p1_16 ADB3 300 N 
34.0252 M13 1367273 p3_35 ADB3 300 N 
40.2721 M14 2228040 p1_14 ADB3 300 N 
42.2377 M15 1380680 p2_20 ADB3 300 N 
45.1593 M16 1045086 p1_10 ADB3 300 N 
45.5816 M17 1722848 p2_22 ADB3 300 N 
46.3510 M18 2211571 p2_22 ADB3 300 N 
47.4877 M19 1530271 p2_28 ADB3 300 N 
47.9232 M20 1991397 p1_10 ADB3 300 N 
50.3599 M21 1294029 p3_30 ADB3 300 N 
57.2277 M22 2626902 p1_17 ADB3 300 N 
59.4775 M23 1348700 p1_9 ADB3 300 N 
61.2816 M24 2140222 p1_15 ADB3 300 N 
62.9576 M25 2451216 p1_13 ADB3 300 N 
63.9461 M26 1995680 p2_24 ADB3 300 N 
68.0387 M27 1885202 p1_11 ADB3 300 N 
68.6497 M28 2519301 p2_25 ADB3 300 N 
70.0516 M29 2503373 p1_12 ADB3 300 N 
76.1326 M30 1733640 p1_14 ADB3 300 N 
77.9986 M31 2464884 p2_28 ADB3 300 N 
78.7086 M32 1559729 p3_36 ADB3 300 N 
88.2707 M33 1370826 p3_34 ADB3 300 N 
92.2600 M34 2472383 p3_31 ADB3 300 N 
94.1103 M35 2600773 p1_18 ADB3 300 N 
96.4525 M36 1707738 p1_13 ADB3 300 N 
99.5196 M37 2777199 p3_34 ADB3 300 N 
100.0791 M38 1417990 p3_29 ADB3 300 N 
101.8252 M39 2388064 p1_17 ADB3 300 N 
102.4587 M40 1678625 p3_35 ADB3 300 N 
107.4888 M41 2270945 p2_27 ADB3 300 N 
107.9975 M42 1963752 p1_18 ADB3 300 N 
108.2108 M43 1921516 p1_12 ADB3 300 N 
109.2708 M44 1729461 p1_9 ADB3 300 N 
110.3757 M45 1388356 p2_20 ADB3 300 N 
113.0281 M46 2045451 p1_14 ADB3 300 N 
113.9698 M47 1529000 p2_27 ADB3 300 N 
118.0455 M48 2112761 p2_25 ADB3 300 N 
118.1686 M49 1156756 p3_31 ADB3 300 N 
119.2966 M50 1778216 p2_28 ADB3 300 N 
121.3102 M51 2542038 p2_27 ADB3 300 N 
123.3646 M52 2483915 p1_12 ADB3 300 N 
123.6247 M53 2183464 p1_13 ADB3 300 N 
126.4237 M54 2201506 p1_13 ADB3 300 N 
130.0317 M55 2996688 p3_36 ADB3 300 N 
132.9589 N1 1000000 ADB3 p3_33 300 N 
133.2371 M56 2389225 p2_27 ADB3 300 N 
133.2454 M57 1941579 p2_20 ADB3 300 N 
136.7126 M58 2811066 p2_19 ADB3 300 N 
137.1465 M59 2163117 p1_18 ADB3 300 N 
137.6285 M60 1006581 p2_23 ADB3 300 N 
137.9157 M61 1510399 p1_13 ADB3 300 N 
139.6143 M62 1320680 p3_32 ADB3 300 N 
143.2794 M63 1440661 p3_32 ADB3 300 N 
146.7608 M64 1384863 p2_21 ADB3 300 N 
147.5556 M65 2037079 p2_20 ADB3 300 N 
153.2014 M66 1667533 p1_16 ADB3 300 N 
154.1521 M67 1675185 p2_27 ADB3 300 N 
154.5283 M68 1297770 p2_28 ADB3 300 N 
159.3093 M69 2532856 p3_29 ADB3 300 N 
165.6807 M70 2870477 p3_35 ADB3 300 N 
166.2207 M71 2284336 p2_21 ADB3 300 N 
166.3484 M72 2453264 p3_31 ADB3 300 N 
166.6842 M73 1468340 p1_16 ADB3 300 N 
166.9346 M74 1183682 p1_14 ADB3 300 N 
169.8439 M75 1618175 p2_23 ADB3 300 N 
173.2784 M76 2601479 p3_29 ADB3 300 N 
173.4625 M77 1030476 p2_24 ADB3 300 N 
175.5118 M78 2749524 p1_15 ADB3 300 N 
175.8780 M79 1720977 p2_26 ADB3 300 N 
177.5513 M80 1999278 p3_29 ADB3 300 N 
177.7916 M81 1975369 p2_20 ADB3 300 N 
180.8567 M82 2586604 p1_16 ADB3 300 N 
180.9765 M83 2745934 p1_18 ADB3 300 N 
183.0185 M84 1570569 p3_29 ADB3 300 N 
183.2673 M85 2846462 p2_22 ADB3 300 N 
184.7475 M86 1826254 p3_34 ADB3 300 N 
185.1933 M87 1628836 p3_31 ADB3 300 N 
186.8521 M88 1828271 p1_12 ADB3 300 N 
187.3791 M89 2216229 p2_21 ADB3 300 N 
188.3572 M90 2221262 p2_24 ADB3 300 N 
196.7177 M91 2149807 p1_18 ADB3 300 N 
198.1900 M92 2049614 p1_17 ADB3 300 N 
201.1595 M93 2362524 p2_28 ADB3 300 N 
201.5607 M94 1716388 p2_23 ADB3 300 N 
202.1272 M95 1769870 p3_37 ADB3 300 N 
202.7258 M96 2066893 p1_14 ADB3 300 N 
203.4480 M97 1022530 p1_9 ADB3 300 N 
204.8690 M98 2914657 p2_26 ADB3 300 N 
207.0471 M99 2266315 p1_17 ADB3 300 N 
210.0423 M100 2916248 p2_28 ADB3 300 N 
211.2831 M101 1386747 p2_28 ADB3 300 N 
