# time  ID  size  fromHost  toHost  TTL  isResponse
0.4703 N1 1000000 ADB6 p2_32 300 N 
1.4232 N2 1000000 ADB6 p2_24 300 N 
1.7338 N3 1000000 ADB6 p5_62 300 N 
9.2717 N4 1000000 ADB6 p3_40 300 N 
9.6036 N5 1000000 ADB6 p3_34 300 N 
11.4622 N6 1000000 ADB6 p4_49 300 N 
13.9003 N7 1000000 ADB6 p4_46 300 N 
17.6059 N8 1000000 ADB6 p5_56 300 N 
21.3319 N9 1000000 ADB6 p2_26 300 N 
22.8387 N10 1000000 ADB6 p3_41 300 N 
24.9705 N11 1000000 ADB6 p1_19 300 N 
28.4834 N12 1000000 ADB6 p2_30 300 N 
30.6229 N13 1000000 ADB6 p1_14 300 N 
31.1606 N14 1000000 ADB6 p5_55 300 N 
31.4498 N15 1000000 ADB6 p5_56 300 N 
32.0000 M1 68834 p2_28 ADB6 300 N 
36.0233 N16 1000000 ADB6 p4_45 300 N 
36.7640 N17 1000000 ADB6 p2_27 300 N 
37.6798 N18 1000000 ADB6 p2_29 300 N 
42.0367 N19 1000000 ADB6 p1_21 300 N 
47.0675 N20 1000000 ADB6 p3_36 300 N 
47.4605 N21 1000000 ADB6 p5_55 300 N 
49.2509 N22 1000000 ADB6 p1_22 300 N 
49.8147 N23 1000000 ADB6 p2_25 300 N 
52.6694 N24 1000000 ADB6 p2_31 300 N 
58.0000 M2 127273 p5_55 ADB6 300 N 
61.0019 N25 1000000 ADB6 p2_32 300 N 
61.4275 N26 1000000 ADB6 p3_35 300 N 
63.5885 N27 1000000 ADB6 p2_32 300 N 
66.5066 N28 1000000 ADB6 p3_35 300 N 
67.6709 N29 1000000 ADB6 p1_23 300 N 
68.7550 N30 1000000 ADB6 p3_36 300 N 
70.2400 N31 1000000 ADB6 p2_25 300 N 
78.4642 N32 1000000 ADB6 p5_59 300 N 
78.6510 N33 1000000 ADB6 p4_50 300 N 
78.8378 N34 1000000 ADB6 p3_42 300 N 
79.1696 N35 1000000 ADB6 p5_56 300 N 
81.0666 N36 1000000 ADB6 p2_33 300 N 
81.5944 N37 1000000 ADB6 p3_38 300 N 
83.7353 N38 1000000 ADB6 p1_22 300 N 
84.0000 M3 118122 p3_37 ADB6 300 N 
84.8828 N39 1000000 ADB6 p4_53 300 N 
85.9124 N40 1000000 ADB6 p1_21 300 N 
86.9576 N41 1000000 ADB6 p1_19 300 N 
87.0182 N42 1000000 ADB6 p1_19 300 N 
87.9852 N43 1000000 ADB6 p3_42 300 N 
91.0648 N44 1000000 ADB6 p3_43 300 N 
