# time  ID  size  fromHost  toHost  TTL  isResponse
32.0000 M1 68834 p2_18 ADB2 300 N 
52.2305 N1 1000000 ADB2 p1_11 300 N 
58.0000 M2 127273 p1_10 ADB2 300 N 
75.7003 N2 1000000 ADB2 p1_8 300 N 
81.4033 N3 1000000 ADB2 p1_14 300 N 
84.0000 M3 118122 p2_17 ADB2 300 N 
112.0000 M4 73257 p1_8 ADB2 300 N 
144.0000 M5 124671 p1_6 ADB2 300 N 
146.1186 N4 1000000 ADB2 p2_19 300 N 
150.5124 N5 1000000 ADB2 p1_9 300 N 
153.9198 N6 1000000 ADB2 p1_11 300 N 
170.0000 M6 111032 p2_17 ADB2 300 N 
202.3986 N7 1000000 ADB2 p1_10 300 N 
203.0000 M7 62010 p2_17 ADB2 300 N 
206.1627 N8 1000000 ADB2 p1_6 300 N 
210.4372 N9 1000000 ADB2 p1_5 300 N 
233.0000 M8 63877 p1_8 ADB2 300 N 
265.0000 M9 137686 p1_13 ADB2 300 N 
265.2009 N10 1000000 ADB2 p1_14 300 N 
291.0000 M10 113541 p2_15 ADB2 300 N 
292.3713 N11 1000000 ADB2 p1_14 300 N 
304.9682 N12 1000000 ADB2 p1_5 300 N 
307.0786 N13 1000000 ADB2 p1_5 300 N 
309.9207 N14 1000000 ADB2 p2_19 300 N 
319.0829 N15 1000000 ADB2 p2_19 300 N 
320.0000 M11 112047 p2_20 ADB2 300 N 
321.2658 N16 1000000 ADB2 p1_6 300 N 
326.6710 N17 1000000 ADB2 p2_19 300 N 
345.0000 M12 95086 p2_20 ADB2 300 N 
375.1022 N18 1000000 ADB2 p2_19 300 N 
379.0000 M13 143107 p1_6 ADB2 300 N 
402.1694 N19 1000000 ADB2 p2_16 300 N 
405.0000 M14 70934 p1_11 ADB2 300 N 
431.0000 M15 141397 p1_5 ADB2 300 N 
445.0348 N20 1000000 ADB2 p1_12 300 N 
464.0000 M16 125016 p1_10 ADB2 300 N 
466.5949 N21 1000000 ADB2 p2_19 300 N 
467.9598 N22 1000000 ADB2 p2_15 300 N 
498.0000 M17 140517 p2_22 ADB2 300 N 
523.0000 M18 90222 p2_17 ADB2 300 N 
539.8243 N23 1000000 ADB2 p2_15 300 N 
557.0000 M19 130040 p1_6 ADB2 300 N 
560.1015 N24 1000000 ADB2 p2_19 300 N 
573.1991 N25 1000000 ADB2 p2_22 300 N 
581.6119 N26 1000000 ADB2 p2_16 300 N 
582.0000 M20 123543 p1_11 ADB2 300 N 
589.7648 N27 1000000 ADB2 p2_19 300 N 
595.3451 N28 1000000 ADB2 p1_5 300 N 
599.5848 N29 1000000 ADB2 p2_23 300 N 
604.3248 N30 1000000 ADB2 p2_17 300 N 
609.0000 M21 69301 p1_8 ADB2 300 N 
610.2141 N31 1000000 ADB2 p2_21 300 N 
