# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
172.2000 M2 127273 1 114.2000 p1_10 ADB2 298 N p1_10->ADB2
238.1000 M4 73257 2 126.1000 p1_8 ADB2 297 N p1_8->p1_12->ADB2
361.3000 M8 63877 4 128.3000 p1_8 ADB2 297 N p1_8->p1_9->p1_5->p1_12->ADB2
367.4000 M5 124671 4 223.4000 p1_6 ADB2 296 N p1_6->p1_5->p1_12->p1_10->ADB2
457.2000 M13 143107 3 78.2000 p1_6 ADB2 298 N p1_6->p1_8->p1_14->ADB2
586.0000 M20 123543 1 4.0000 p1_11 ADB2 299 N p1_11->ADB2
586.6000 M9 137686 2 321.6000 p1_13 ADB2 294 N p1_13->p1_11->ADB2
586.9000 M14 70934 1 181.9000 p1_11 ADB2 296 N p1_11->ADB2
712.5000 M3 118122 3 628.5000 p2_17 ADB2 289 N p2_17->ADB3->CD4->ADB2
712.6000 M1 68834 3 680.6000 p2_18 ADB2 288 N p2_18->ADB3->CD4->ADB2
1019.6000 M31 98641 1 106.6000 p1_14 ADB2 298 N p1_14->ADB2
1020.0000 M33 79461 1 44.0000 p1_14 ADB2 299 N p1_14->ADB2
1020.6000 M19 130040 4 463.6000 p1_6 ADB2 292 N p1_6->p1_11->p1_12->p1_14->ADB2
1021.1000 M22 104050 1 381.1000 p1_14 ADB2 293 N p1_14->ADB2
1135.8000 M24 109729 2 437.8000 p1_12 ADB2 292 N p1_12->p1_13->ADB2
1136.4000 M15 141397 3 705.4000 p1_5 ADB2 288 N p1_5->p1_10->p1_13->ADB2
1136.7000 M27 57738 2 351.7000 p1_12 ADB2 294 N p1_12->p1_13->ADB2
1255.7000 M29 89593 1 403.7000 p1_14 ADB2 293 N p1_14->ADB2
1256.3000 M25 132211 2 526.3000 p1_8 ADB2 291 N p1_8->p1_14->ADB2
1256.8000 M23 105510 2 587.8000 p1_11 ADB2 290 N p1_11->p1_14->ADB2
1257.1000 M36 62761 1 197.1000 p1_14 ADB2 296 N p1_14->ADB2
