# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
33.1000 M7 2006241 1 18.0726 p1_10 ADB3 299 N p1_10->ADB3
37.3000 M16 1045086 1 5.8858 p1_10 ADB3 299 N p1_10->ADB3
41.6000 M3 1829931 4 36.9454 p3_29 ADB3 299 N p3_29->ADB5->WIFI_8->WIFI_7->ADB3
46.6000 M12 1087686 1 22.8702 p1_16 ADB3 299 N p1_16->ADB3
56.4000 M14 2228040 1 26.9740 p1_14 ADB3 299 N p1_14->ADB3
67.5000 M2 2144201 3 64.1539 p1_12 ADB3 298 N p1_12->p1_11->p1_15->ADB3
96.2000 M20 1991397 1 47.3288 p1_10 ADB3 299 N p1_10->ADB3
105.5000 M6 2300554 1 94.0031 p1_10 ADB3 298 N p1_10->ADB3
116.3000 M43 1921516 1 17.4964 p1_12 ADB3 299 N p1_12->ADB3
122.3000 M1 1484638 2 121.1523 p1_11 ADB3 297 N p1_11->p1_12->ADB3
134.8000 M27 1885202 1 67.8804 p1_11 ADB3 298 N p1_11->ADB3
144.7000 M30 1733640 1 75.8634 p1_14 ADB3 298 N p1_14->ADB3
157.0000 M59 2163117 1 18.8257 p1_18 ADB3 299 N p1_18->ADB3
170.8000 M33 1370826 4 94.6886 p3_34 ADB3 298 N p3_34->ADB5->WIFI_8->WIFI_7->ADB3
171.9000 M37 2777199 4 77.2052 p3_34 ADB3 298 N p3_34->ADB5->WIFI_8->WIFI_7->ADB3
204.2000 M22 2626902 1 151.1868 p1_17 ADB3 297 N p1_17->ADB3
213.3000 M99 2266315 1 19.5801 p1_17 ADB3 299 N p1_17->ADB3
221.2000 M104 1957377 1 12.8330 p1_17 ADB3 299 N p1_17->ADB3
237.7000 M44 1729461 1 137.7768 p1_9 ADB3 297 N p1_9->ADB3
241.8000 M97 1022530 1 50.3089 p1_9 ADB3 299 N p1_9->ADB3
246.3000 M119 1116020 1 10.9845 p1_9 ADB3 299 N p1_9->ADB3
256.5000 M73 1468340 2 101.6628 p1_16 ADB3 298 N p1_16->p1_14->ADB3
264.8000 M96 2066893 1 73.3400 p1_14 ADB3 298 N p1_14->ADB3
277.7000 M82 2586604 1 106.8204 p1_16 ADB3 298 N p1_16->ADB3
292.0000 M39 2388064 1 196.8900 p1_17 ADB3 296 N p1_17->ADB3
297.1000 M143 1251567 1 5.9517 p1_17 ADB3 299 N p1_17->ADB3
305.3000 M92 2049614 1 117.5216 p1_17 ADB3 298 N p1_17->ADB3
309.8000 M146 1109072 1 12.5364 p1_17 ADB3 299 N p1_17->ADB3
318.3226 M107 1626408 2 109.3643 p1_11 ADB3 298 N p1_11->p1_10->ADB3
328.8000 M61 1510399 1 187.2914 p1_13 ADB3 296 N p1_13->ADB3
337.6640 M54 2201506 1 208.0270 p1_13 ADB3 296 N p1_13->ADB3
346.3000 M24 2140222 2 289.1630 p1_15 ADB3 295 N p1_15->p1_13->ADB3
362.5000 M158 1182174 1 42.4167 p1_12 ADB3 299 N p1_12->ADB3
