# time  ID  size  fromHost  toHost  TTL  isResponse
3.1292 M1 1484638 dtn1_6 ADB2 140 N 
4.0558 M2 2144201 dtn2_7 ADB2 140 N 
4.1333 N1 1000000 ADB2 dtn2_8 140 N 
9.3138 M3 1829931 dtn2_7 ADB2 140 N 
13.4636 M4 1468122 dtn2_8 ADB2 140 N 
13.6448 M5 1295971 dtn1_6 ADB2 140 N 
14.1629 M6 2300554 dtn2_8 ADB2 140 N 
15.2040 M7 2006241 dtn2_8 ADB2 140 N 
16.9992 M8 1661032 dtn2_8 ADB2 140 N 
25.9002 M9 1666703 dtn1_6 ADB2 140 N 
31.2313 M10 2027347 dtn2_8 ADB2 140 N 
31.7513 M11 2269587 dtn1_6 ADB2 140 N 
35.1351 M12 1087686 dtn1_6 ADB2 140 N 
35.4677 M13 1367273 dtn2_8 ADB2 140 N 
35.8962 M14 2228040 dtn2_8 ADB2 140 N 
36.0796 M15 1380680 dtn2_7 ADB2 140 N 
37.9389 M16 1045086 dtn1_6 ADB2 140 N 
40.7871 M17 1722848 dtn2_7 ADB2 140 N 
42.4496 M18 2211571 dtn1_6 ADB2 140 N 
43.3733 M19 1530271 dtn2_7 ADB2 140 N 
43.7532 N2 1000000 ADB2 dtn2_8 140 N 
46.1292 M20 1991397 dtn2_7 ADB2 140 N 
47.2505 M21 1294029 dtn1_6 ADB2 140 N 
47.7215 M22 2626902 dtn1_6 ADB2 140 N 
50.2465 M23 1348700 dtn2_7 ADB2 140 N 
51.1117 M24 2140222 dtn2_8 ADB2 140 N 
51.2777 M25 2451216 dtn1_6 ADB2 140 N 
54.0740 M26 1995680 dtn2_8 ADB2 140 N 
57.9751 M27 1885202 dtn1_6 ADB2 140 N 
61.0810 M28 2519301 dtn1_6 ADB2 140 N 
61.6019 M29 2503373 dtn1_6 ADB2 140 N 
61.7496 M30 1733640 dtn2_8 ADB2 140 N 
62.7304 M31 2464884 dtn1_6 ADB2 140 N 
62.9543 M32 1559729 dtn2_7 ADB2 140 N 
69.5801 M33 1370826 dtn2_8 ADB2 140 N 
72.3948 M34 2472383 dtn1_6 ADB2 140 N 
74.1454 M35 2600773 dtn2_8 ADB2 140 N 
75.5236 M36 1707738 dtn2_8 ADB2 140 N 
77.3177 M37 2777199 dtn1_6 ADB2 140 N 
80.0530 M38 1417990 dtn1_6 ADB2 140 N 
80.7862 M39 2388064 dtn2_7 ADB2 140 N 
82.5995 M40 1678625 dtn1_6 ADB2 140 N 
85.5129 M41 2270945 dtn2_7 ADB2 140 N 
85.5997 M42 1963752 dtn2_7 ADB2 140 N 
91.2179 M43 1921516 dtn2_7 ADB2 140 N 
92.1785 M44 1729461 dtn2_7 ADB2 140 N 
92.5523 M45 1388356 dtn1_6 ADB2 140 N 
96.4092 M46 2045451 dtn1_6 ADB2 140 N 
105.7262 M47 1529000 dtn2_8 ADB2 140 N 
106.3782 M48 2112761 dtn2_8 ADB2 140 N 
108.4667 M49 1156756 dtn2_7 ADB2 140 N 
110.2292 M50 1778216 dtn1_6 ADB2 140 N 
113.2266 M51 2542038 dtn2_7 ADB2 140 N 
113.4670 M52 2483915 dtn1_6 ADB2 140 N 
116.0933 M53 2183464 dtn1_6 ADB2 140 N 
116.9875 M54 2201506 dtn2_8 ADB2 140 N 
117.2437 M55 2996688 dtn2_7 ADB2 140 N 
117.7754 M56 2389225 dtn1_6 ADB2 140 N 
119.7458 M57 1941579 dtn2_7 ADB2 140 N 
122.2426 M58 2811066 dtn2_8 ADB2 140 N 
123.8631 M59 2163117 dtn2_8 ADB2 140 N 
129.4865 M60 1006581 dtn1_6 ADB2 140 N 
131.6710 M61 1510399 dtn2_7 ADB2 140 N 
136.9254 M62 1320680 dtn2_7 ADB2 140 N 
