# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9.1000 M1 1484638 1 5.9708 dtn1_6 ADB2 139 N dtn1_6->ADB2
19.1000 M5 1295971 1 5.4552 dtn1_6 ADB2 139 N dtn1_6->ADB2
26.8000 M2 2144201 4 22.7442 dtn2_7 ADB2 139 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
27.6000 M3 1829931 4 18.2862 dtn2_7 ADB2 139 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
83.0000 M4 1468122 4 69.5364 dtn2_8 ADB2 138 N dtn2_8->ADB3->WIFI_5->WIFI_4->ADB2
107.5000 M32 1559729 4 44.5457 dtn2_7 ADB2 139 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
108.3000 M43 1921516 4 17.0821 dtn2_7 ADB2 139 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
179.3000 M60 1006581 1 49.8135 dtn1_6 ADB2 139 N dtn1_6->ADB2
188.1000 M53 2183464 1 72.0067 dtn1_6 ADB2 138 N dtn1_6->ADB2
193.8000 M38 1417990 1 113.7470 dtn1_6 ADB2 138 N dtn1_6->ADB2
230.3000 M42 1963752 4 144.7003 dtn2_7 ADB2 137 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
273.2804 M115 1667043 1 30.2874 dtn1_6 ADB2 139 N dtn1_6->ADB2
280.0000 M67 1675185 1 129.1131 dtn1_6 ADB2 137 N dtn1_6->ADB2
284.1000 M97 1022530 1 81.2237 dtn1_6 ADB2 138 N dtn1_6->ADB2
291.0000 M94 1716388 1 101.6947 dtn1_6 ADB2 138 N dtn1_6->ADB2
323.7000 M124 2719389 4 66.3888 dtn2_7 ADB2 138 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
443.5000 M158 1182174 4 85.1496 dtn2_7 ADB2 138 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
444.4000 M96 2066893 4 250.9377 dtn2_7 ADB2 135 N dtn2_7->ADB3->WIFI_5->WIFI_4->ADB2
450.3000 M170 1337760 1 63.1509 dtn1_6 ADB2 138 N dtn1_6->ADB2
460.1000 M113 2440506 1 220.4948 dtn1_6 ADB2 136 N dtn1_6->ADB2
